Governor / Lt. Governor                                             |-  |Allegany County                                   |Townsend                                                    |Kennedy         |Kathleen                                                    |Democratic                                        |              0|(Vote for One)                                    |                                           7831|\N
Governor / Lt. Governor                                             |-  |Carroll County                                    |Jaffe                                                       |\N              |Ralph                                                       |Democratic                                        |              0|(Vote for One)                                    |                                              5|\N
Governor / Lt. Governor                                             |-  |Carroll County                                    |Lynch                                                       |T.              |James                                                       |Democratic                                        |              0|(Vote for One)                                    |                                              1|\N
Governor / Lt. Governor                                             |-  |Carroll County                                    |zz998                                                       |\N              |Other Write-Ins                                             |Both Parties                                      |              0|(Vote for One)                                    |                                             49|\N
Governor / Lt. Governor                                             |-  |Cecil County                                      |Townsend                                                    |Kennedy         |Kathleen                                                    |Democratic                                        |              0|(Vote for One)                                    |                                           7668|\N
Governor / Lt. Governor                                             |-  |Cecil County                                      |Ehrlich                                                     |L.              |Robert                                                      |Republican                                        |              1|(Vote for One)                                    |                                          16956|\N
Governor / Lt. Governor                                             |-  |Cecil County                                      |Lancaster                                                   |\N              |Spear                                                       |Libertarian                                       |              0|(Vote for One)                                    |                                            248|\N
Governor / Lt. Governor                                             |-  |Cecil County                                      |Jaffe                                                       |\N              |Ralph                                                       |Democratic                                        |              0|(Vote for One)                                    |                                              2|\N
Governor / Lt. Governor                                             |-  |Cecil County                                      |Lynch                                                       |T.              |James                                                       |Democratic                                        |              0|(Vote for One)                                    |                                              1|\N
Governor / Lt. Governor                                             |-  |Cecil County                                      |zz998                                                       |\N              |Other Write-Ins                                             |Both Parties                                      |              0|(Vote for One)                                    |                                             16|\N
Governor / Lt. Governor                                             |-  |Charles County                                    |Townsend                                                    |Kennedy         |Kathleen                                                    |Democratic                                        |              0|(Vote for One)                                    |                                          15149|\N
Governor / Lt. Governor                                             |-  |Charles County                                    |Ehrlich                                                     |L.              |Robert                                                      |Republican                                        |              1|(Vote for One)                                    |                                          19695|\N
Governor / Lt. Governor                                             |-  |Charles County                                    |Lancaster                                                   |\N              |Spear                                                       |Libertarian                                       |              0|(Vote for One)                                    |                                            230|\N
Governor / Lt. Governor                                             |-  |Charles County                                    |Jaffe                                                       |\N              |Ralph                                                       |Democratic                                        |              0|(Vote for One)                                    |                                              4|\N
Governor / Lt. Governor                                             |-  |Charles County                                    |Lynch                                                       |T.              |James                                                       |Democratic                                        |              0|(Vote for One)                                    |                                              0|\N
Governor / Lt. Governor                                             |-  |Charles County                                    |zz998                                                       |\N              |Other Write-Ins                                             |Both Parties                                      |              0|(Vote for One)                                    |                                             22|\N
Governor / Lt. Governor                                             |-  |Dorchester County                                 |Townsend                                                    |Kennedy         |Kathleen                                                    |Democratic                                        |              0|(Vote for One)                                    |                                           3316|\N
Governor / Lt. Governor                                             |-  |Dorchester County                                 |Ehrlich                                                     |L.              |Robert                                                      |Republican                                        |              1|(Vote for One)                                    |                                           6941|\N
Governor / Lt. Governor                                             |-  |Dorchester County                                 |Lancaster                                                   |\N              |Spear                                                       |Libertarian                                       |              0|(Vote for One)                                    |                                             60|\N
Governor / Lt. Governor                                             |-  |Dorchester County                                 |Jaffe                                                       |\N              |Ralph                                                       |Democratic                                        |              0|(Vote for One)                                    |                                              1|\N
Governor / Lt. Governor                                             |-  |Dorchester County                                 |Lynch                                                       |T.              |James                                                       |Democratic                                        |              0|(Vote for One)                                    |                                              1|\N
Governor / Lt. Governor                                             |-  |Dorchester County                                 |zz998                                                       |\N              |Other Write-Ins                                             |Both Parties                                      |              0|(Vote for One)                                    |                                              6|\N
Governor / Lt. Governor                                             |-  |Frederick County                                  |Townsend                                                    |Kennedy         |Kathleen                                                    |Democratic                                        |              0|(Vote for One)                                    |                                          21913|\N
Governor / Lt. Governor                                             |-  |Frederick County                                  |Ehrlich                                                     |L.              |Robert                                                      |Republican                                        |              1|(Vote for One)                                    |                                          43646|\N
Governor / Lt. Governor                                             |-  |Frederick County                                  |Lancaster                                                   |\N              |Spear                                                       |Libertarian                                       |              0|(Vote for One)                                    |                                            544|\N
Governor / Lt. Governor                                             |-  |Frederick County                                  |Jaffe                                                       |\N              |Ralph                                                       |Democratic                                        |              0|(Vote for One)                                    |                                             10|\N
Governor / Lt. Governor                                             |-  |Frederick County                                  |Lynch                                                       |T.              |James                                                       |Democratic                                        |              0|(Vote for One)                                    |                                              1|\N
Governor / Lt. Governor                                             |-  |Frederick County                                  |zz998                                                       |\N              |Other Write-Ins                                             |Both Parties                                      |              0|(Vote for One)                                    |                                             41|\N
Governor / Lt. Governor                                             |-  |Garrett County                                    |Townsend                                                    |Kennedy         |Kathleen                                                    |Democratic                                        |              0|(Vote for One)                                    |                                           2355|\N
Governor / Lt. Governor                                             |-  |Garrett County                                    |Ehrlich                                                     |L.              |Robert                                                      |Republican                                        |              1|(Vote for One)                                    |                                           6604|\N
Governor / Lt. Governor                                             |-  |Garrett County                                    |Lancaster                                                   |\N              |Spear                                                       |Libertarian                                       |              0|(Vote for One)                                    |                                             56|\N
Governor / Lt. Governor                                             |-  |Garrett County                                    |Jaffe                                                       |\N              |Ralph                                                       |Democratic                                        |              0|(Vote for One)                                    |                                              1|\N
Governor / Lt. Governor                                             |-  |Garrett County                                    |Lynch                                                       |T.              |James                                                       |Democratic                                        |              0|(Vote for One)                                    |                                              0|\N
Governor / Lt. Governor                                             |-  |Garrett County                                    |zz998                                                       |\N              |Other Write-Ins                                             |Both Parties                                      |              0|(Vote for One)                                    |                                              3|\N
Governor / Lt. Governor                                             |-  |Harford County                                    |Townsend                                                    |Kennedy         |Kathleen                                                    |Democratic                                        |              0|(Vote for One)                                    |                                          21246|\N
Governor / Lt. Governor                                             |-  |Harford County                                    |Ehrlich                                                     |L.              |Robert                                                      |Republican                                        |              1|(Vote for One)                                    |                                          63553|\N
Governor / Lt. Governor                                             |-  |Harford County                                    |Lancaster                                                   |\N              |Spear                                                       |Libertarian                                       |              0|(Vote for One)                                    |                                            639|\N
Governor / Lt. Governor                                             |-  |Harford County                                    |Jaffe                                                       |\N              |Ralph                                                       |Democratic                                        |              0|(Vote for One)                                    |                                              9|\N
Governor / Lt. Governor                                             |-  |Harford County                                    |Lynch                                                       |T.              |James                                                       |Democratic                                        |              0|(Vote for One)                                    |                                              6|\N
Governor / Lt. Governor                                             |-  |Harford County                                    |zz998                                                       |\N              |Other Write-Ins                                             |Both Parties                                      |              0|(Vote for One)                                    |                                             50|\N
Governor / Lt. Governor                                             |-  |Howard County                                     |Townsend                                                    |Kennedy         |Kathleen                                                    |Democratic                                        |              0|(Vote for One)                                    |                                          42438|\N
Governor / Lt. Governor                                             |-  |Howard County                                     |Ehrlich                                                     |L.              |Robert                                                      |Republican                                        |              1|(Vote for One)                                    |                                          53260|\N
Governor / Lt. Governor                                             |-  |Howard County                                     |Lancaster                                                   |\N              |Spear                                                       |Libertarian                                       |              0|(Vote for One)                                    |                                            688|\N
Governor / Lt. Governor                                             |-  |Howard County                                     |Jaffe                                                       |\N              |Ralph                                                       |Democratic                                        |              0|(Vote for One)                                    |                                              3|\N
Governor / Lt. Governor                                             |-  |Howard County                                     |Lynch                                                       |T.              |James                                                       |Democratic                                        |              0|(Vote for One)                                    |                                              0|\N
Governor / Lt. Governor                                             |-  |Howard County                                     |zz998                                                       |\N              |Other Write-Ins                                             |Both Parties                                      |              0|(Vote for One)                                    |                                            119|\N
Governor / Lt. Governor                                             |-  |Kent County                                       |Townsend                                                    |Kennedy         |Kathleen                                                    |Democratic                                        |              0|(Vote for One)                                    |                                           2641|\N
Governor / Lt. Governor                                             |-  |Kent County                                       |Ehrlich                                                     |L.              |Robert                                                      |Republican                                        |              1|(Vote for One)                                    |                                           5012|\N
Governor / Lt. Governor                                             |-  |Kent County                                       |Lancaster                                                   |\N              |Spear                                                       |Libertarian                                       |              0|(Vote for One)                                    |                                             50|\N
Governor / Lt. Governor                                             |-  |Kent County                                       |Jaffe                                                       |\N              |Ralph                                                       |Democratic                                        |              0|(Vote for One)                                    |                                              1|\N
Governor / Lt. Governor                                             |-  |Kent County                                       |Lynch                                                       |T.              |James                                                       |Democratic                                        |              0|(Vote for One)                                    |                                              1|\N
Governor / Lt. Governor                                             |-  |Kent County                                       |zz998                                                       |\N              |Other Write-Ins                                             |Both Parties                                      |              0|(Vote for One)                                    |                                              5|\N
Governor / Lt. Governor                                             |-  |Montgomery County                                 |Townsend                                                    |Kennedy         |Kathleen                                                    |Democratic                                        |              0|(Vote for One)                                    |                                         180576|\N
Governor / Lt. Governor                                             |-  |Montgomery County                                 |Ehrlich                                                     |L.              |Robert                                                      |Republican                                        |              1|(Vote for One)                                    |                                         113680|\N
Governor / Lt. Governor                                             |-  |Montgomery County                                 |Lancaster                                                   |\N              |Spear                                                       |Libertarian                                       |              0|(Vote for One)                                    |                                           1942|\N
Governor / Lt. Governor                                             |-  |Montgomery County                                 |Jaffe                                                       |\N              |Ralph                                                       |Democratic                                        |              0|(Vote for One)                                    |                                             21|\N
Governor / Lt. Governor                                             |-  |Montgomery County                                 |Lynch                                                       |T.              |James                                                       |Democratic                                        |              0|(Vote for One)                                    |                                              3|\N
Governor / Lt. Governor                                             |-  |Montgomery County                                 |zz998                                                       |\N              |Other Write-Ins                                             |Both Parties                                      |              0|(Vote for One)                                    |                                            302|\N
Governor / Lt. Governor                                             |-  |Prince George's County                            |Townsend                                                    |Kennedy         |Kathleen                                                    |Democratic                                        |              0|(Vote for One)                                    |                                         150927|\N
Governor / Lt. Governor                                             |-  |Prince George's County                            |Ehrlich                                                     |L.              |Robert                                                      |Republican                                        |              1|(Vote for One)                                    |                                          45193|\N
Governor / Lt. Governor                                             |-  |Prince George's County                            |Lancaster                                                   |\N              |Spear                                                       |Libertarian                                       |              0|(Vote for One)                                    |                                            912|\N
Governor / Lt. Governor                                             |-  |Prince George's County                            |Jaffe                                                       |\N              |Ralph                                                       |Democratic                                        |              0|(Vote for One)                                    |                                             15|\N
Governor / Lt. Governor                                             |-  |Prince George's County                            |Lynch                                                       |T.              |James                                                       |Democratic                                        |              0|(Vote for One)                                    |                                              8|\N
Governor / Lt. Governor                                             |-  |Prince George's County                            |zz998                                                       |\N              |Other Write-Ins                                             |Both Parties                                      |              0|(Vote for One)                                    |                                            139|\N
Governor / Lt. Governor                                             |-  |Queen Anne's County                               |Townsend                                                    |Kennedy         |Kathleen                                                    |Democratic                                        |              0|(Vote for One)                                    |                                           4190|\N
Governor / Lt. Governor                                             |-  |Queen Anne's County                               |Ehrlich                                                     |L.              |Robert                                                      |Republican                                        |              1|(Vote for One)                                    |                                          12341|\N
Governor / Lt. Governor                                             |-  |Queen Anne's County                               |Lancaster                                                   |\N              |Spear                                                       |Libertarian                                       |              0|(Vote for One)                                    |                                             92|\N
